city,aqi,dominant_pollutant,time,pm25,pm10,o3,no2,co,so2,year,month,day,weekday,hour,aqi_category,pm25_norm,pm10_norm,o3_norm,no2_norm,co_norm,so2_norm
London,62,pm25,2025-06-11,15.47,7.34,14.48,-1.0,-1.0,-1.0,2025,6,11,Wednesday,0,Moderate,0.24551303758889265,0.08077459874389392,0.6045861297539149,0,0,0
London,59,pm25,2025-06-13,13.98,7.88,11.37,-1.0,-1.0,-1.0,2025,6,13,Friday,0,Moderate,0.1950558753809685,0.09019539427773901,0.43064876957494397,0,0,0
London,63,pm25,2025-06-15,12.73,5.7,13.0,-1.0,-1.0,-1.0,2025,6,15,Sunday,0,Moderate,0.15272604131391804,0.052163293789253315,0.5218120805369126,0,0,0
London,62,pm25,2025-06-17,9.59,5.38,11.4,-1.0,-1.0,-1.0,2025,6,17,Tuesday,0,Moderate,0.04639349813748727,0.04658060013956734,0.43232662192393734,0,0,0
"Berlin, Germany",59,pm25,2025-06-12,12.52,5.77,13.21,-1.0,-1.0,-1.0,2025,6,12,Thursday,0,Moderate,0.14561462919065354,0.05338450802512212,0.5335570469798657,0,0,0
"Berlin, Germany",62,pm25,2025-06-14,18.12,8.53,10.6,-1.0,-1.0,-1.0,2025,6,14,Saturday,0,Moderate,0.3352522858110396,0.10153524075366363,0.3875838926174496,0,0,0
"Berlin, Germany",62,pm25,2025-06-16,17.68,9.82,7.21,-1.0,-1.0,-1.0,2025,6,16,Monday,0,Moderate,0.32035218421943784,0.12404047452896023,0.19798657718120802,0,0,0
"Berlin, Germany",62,pm25,2025-06-18,11.96,4.61,7.58,-1.0,-1.0,-1.0,2025,6,18,Wednesday,0,Moderate,0.12665086352861496,0.033147243545010474,0.21868008948545858,0,0,0
"Berlin, Germany",59,pm25,2025-06-20,22.88,10.66,7.33,-1.0,-1.0,-1.0,2025,6,20,Friday,0,Moderate,0.4964442939383677,0.1386950453593859,0.2046979865771812,0,0,0
"Berlin, Germany",59,pm25,2025-06-22,26.52,12.69,13.52,-1.0,-1.0,-1.0,2025,6,22,Sunday,0,Moderate,0.6197087707416186,0.1741102581995813,0.5508948545861296,0,0,0
"Berlin, Germany",58,pm25,2025-06-24,33.22,14.1,18.38,-1.0,-1.0,-1.0,2025,6,24,Tuesday,0,Moderate,0.8465966813410091,0.19870900209351014,0.8227069351230424,0,0,0
Madrid,93,pm25,2025-06-20,32.27,25.39,11.7,-1.0,-1.0,-1.0,2025,6,20,Friday,0,Moderate,0.8144260074500509,0.39567341242149334,0.44910514541387014,0,0,0
Madrid,97,pm25,2025-06-22,28.59,41.21,10.64,-1.0,-1.0,-1.0,2025,6,22,Sunday,0,Moderate,0.6898069759566542,0.6716678297278437,0.38982102908277405,0,0,0
Madrid,92,pm25,2025-06-24,21.81,58.24,9.56,-1.0,-1.0,-1.0,2025,6,24,Tuesday,0,Moderate,0.4602099559769725,0.9687718073970691,0.32941834451901564,0,0,0
Madrid,91,pm25,2025-06-26,21.48,20.95,13.16,-1.0,-1.0,-1.0,2025,6,26,Thursday,0,Moderate,0.4490348797832712,0.31821353803210045,0.5307606263982102,0,0,0
Madrid,94,pm25,2025-06-28,23.67,14.21,12.66,-1.0,-1.0,-1.0,2025,6,28,Saturday,0,Moderate,0.5231967490687437,0.20062805303558967,0.5027964205816554,0,0,0
Madrid,94,pm25,2025-06-30,31.32,12.99,12.86,-1.0,-1.0,-1.0,2025,6,30,Monday,0,Moderate,0.7822553335590925,0.17934403349616193,0.5139821029082773,0,0,0
"Arenula, Roma, Lazio, Italy",34,pm25,2025-06-26,17.36,7.22,10.32,-1.0,-1.0,-1.0,2025,6,26,Thursday,0,Good,0.30951574669827286,0.07868108862526169,0.3719239373601789,0,0,0
"Arenula, Roma, Lazio, Italy",32,pm25,2025-06-28,21.07,7.61,11.92,-1.0,-1.0,-1.0,2025,6,28,Saturday,0,Good,0.43515069420927865,0.08548499651081648,0.4614093959731543,0,0,0
"Arenula, Roma, Lazio, Italy",32,pm25,2025-06-30,35.38,16.44,14.68,-1.0,-1.0,-1.0,2025,6,30,Monday,0,Good,0.9197426346088724,0.2395324494068388,0.6157718120805368,0,0,0
"Arenula, Roma, Lazio, Italy",33,pm25,2025-07-02,28.66,12.95,10.31,-1.0,-1.0,-1.0,2025,7,2,Wednesday,0,Good,0.692177446664409,0.1786461967899511,0.3713646532438479,0,0,0
"Arenula, Roma, Lazio, Italy",34,pm25,2025-07-04,21.24,8.61,11.64,-1.0,-1.0,-1.0,2025,7,4,Friday,0,Good,0.4409075516423975,0.10293091416608513,0.4457494407158836,0,0,0
"Arenula, Roma, Lazio, Italy",34,pm25,2025-07-06,29.36,11.31,7.99,-1.0,-1.0,-1.0,2025,7,6,Sunday,0,Good,0.7158821537419573,0.15003489183531057,0.24161073825503354,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",50,pm25,2025-07-02,13.45,5.71,12.52,-1.0,-1.0,-1.0,2025,7,2,Wednesday,0,Good,0.17710802573653905,0.052337752965806,0.49496644295302006,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",50,pm25,2025-07-04,24.61,8.52,14.29,-1.0,-1.0,-1.0,2025,7,4,Friday,0,Good,0.5550287842871656,0.10136078157711095,0.593959731543624,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",47,pm25,2025-07-06,22.67,11.14,10.64,-1.0,-1.0,-1.0,2025,7,6,Sunday,0,Good,0.4893328818151033,0.14706908583391487,0.38982102908277405,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",48,pm25,2025-07-08,12.15,5.29,13.05,-1.0,-1.0,-1.0,2025,7,8,Tuesday,0,Good,0.13308499830680662,0.04501046755059316,0.5246085011185682,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",51,pm25,2025-07-10,8.22,2.86,6.36,-1.0,-1.0,-1.0,2025,7,10,Thursday,0,Moderate,0.0,0.0026168876482902986,0.15044742729306487,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",47,pm25,2025-07-12,9.99,3.68,3.99,-1.0,-1.0,-1.0,2025,7,12,Saturday,0,Good,0.05993904503894343,0.016922540125610612,0.017897091722595092,0,0,0
Amsterdam,22,pm25,2025-07-08,19.39,10.12,7.57,-1.0,-1.0,-1.0,2025,7,8,Tuesday,0,Good,0.3782593972231629,0.1292742498255408,0.2181208053691275,0,0,0
Amsterdam,21,pm25,2025-07-10,23.78,13.14,3.91,-1.0,-1.0,-1.0,2025,7,10,Thursday,0,Good,0.5269217744666441,0.1819609211444522,0.013422818791946319,0,0,0
Amsterdam,21,pm25,2025-07-12,21.74,10.62,9.1,-1.0,-1.0,-1.0,2025,7,12,Saturday,0,Good,0.45783948526921764,0.13799720865317514,0.30369127516778516,0,0,0
Amsterdam,21,pm25,2025-07-14,22.02,12.55,9.19,-1.0,-1.0,-1.0,2025,7,14,Monday,0,Good,0.467321368100237,0.17166782972784367,0.30872483221476504,0,0,0
Amsterdam,22,pm25,2025-07-16,26.49,11.86,10.45,-1.0,-1.0,-1.0,2025,7,16,Wednesday,0,Good,0.6186928547240094,0.15963014654570828,0.3791946308724831,0,0,0
Amsterdam,20,pm25,2025-07-18,9.09,4.13,12.01,-1.0,-1.0,-1.0,2025,7,18,Friday,0,Good,0.02946156451066709,0.024773203070481507,0.46644295302013417,0,0,0
Paris,43,pm25,2025-05-30,18.71,9.07,8.41,-1.0,-1.0,-1.0,2025,5,30,Friday,0,Good,0.3552319674906874,0.11095603628750873,0.26510067114093955,0,0,0
Paris,45,pm25,2025-06-01,17.2,8.14,7.56,-1.0,-1.0,-1.0,2025,6,1,Sunday,0,Good,0.3040975279376904,0.09473133286810888,0.21756152125279637,0,0,0
Paris,47,pm25,2025-06-03,16.42,8.99,11.56,-1.0,-1.0,-1.0,2025,6,3,Tuesday,0,Good,0.27768371147985105,0.10956036287508723,0.44127516778523485,0,0,0
Paris,46,pm25,2025-06-05,18.42,10.72,13.18,-1.0,-1.0,-1.0,2025,6,5,Thursday,0,Good,0.34541144598713175,0.13974180041870204,0.5318791946308724,0,0,0
Paris,45,pm25,2025-06-07,19.45,9.11,9.12,-1.0,-1.0,-1.0,2025,6,7,Saturday,0,Good,0.38029122925838127,0.11165387299371946,0.30480984340044737,0,0,0
Paris,46,pm25,2025-06-09,12.02,6.22,14.22,-1.0,-1.0,-1.0,2025,6,9,Monday,0,Good,0.12868269556383335,0.061235170969993015,0.5900447427293064,0,0,0
London,60,pm25,2025-06-03,11.83,6.45,11.89,-1.0,-1.0,-1.0,2025,6,3,Tuesday,0,Moderate,0.1222485607856417,0.06524773203070482,0.459731543624161,0,0,0
London,58,pm25,2025-06-05,14.94,7.31,9.76,-1.0,-1.0,-1.0,2025,6,5,Thursday,0,Moderate,0.2275651879444632,0.08025122121423586,0.3406040268456375,0,0,0
London,63,pm25,2025-06-07,12.41,6.17,8.63,-1.0,-1.0,-1.0,2025,6,7,Saturday,0,Moderate,0.14188960379275312,0.06036287508722959,0.27740492170022374,0,0,0
London,63,pm25,2025-06-09,10.51,6.56,7.59,-1.0,-1.0,-1.0,2025,6,9,Monday,0,Moderate,0.07754825601083641,0.06716678297278436,0.21923937360178966,0,0,0
London,60,pm25,2025-06-11,14.01,8.05,13.02,-1.0,-1.0,-1.0,2025,6,11,Wednesday,0,Moderate,0.1960717913985777,0.0931612002791347,0.5229306487695748,0,0,0
London,63,pm25,2025-06-13,15.04,8.23,13.08,-1.0,-1.0,-1.0,2025,6,13,Friday,0,Moderate,0.23095157466982724,0.09630146545708305,0.5262863534675615,0,0,0
London,63,pm25,2025-06-15,11.65,5.45,13.88,-1.0,-1.0,-1.0,2025,6,15,Sunday,0,Moderate,0.11615306467998644,0.04780181437543615,0.5710290827740492,0,0,0
London,62,pm25,2025-06-17,10.41,5.19,12.02,-1.0,-1.0,-1.0,2025,6,17,Tuesday,0,Moderate,0.07416186928547239,0.0432658757850663,0.4670022371364652,0,0,0
"Berlin, Germany",58,pm25,2025-06-12,13.67,5.47,12.36,-1.0,-1.0,-1.0,2025,6,12,Thursday,0,Moderate,0.18455807653233997,0.04815073272854152,0.4860178970917225,0,0,0
"Berlin, Germany",63,pm25,2025-06-14,20.85,8.77,11.16,-1.0,-1.0,-1.0,2025,6,14,Saturday,0,Moderate,0.42770064341347785,0.10572226099092812,0.418903803131991,0,0,0
"Berlin, Germany",59,pm25,2025-06-16,16.63,9.1,7.22,-1.0,-1.0,-1.0,2025,6,16,Monday,0,Moderate,0.28479512360311543,0.11147941381716678,0.19854586129753912,0,0,0
"Berlin, Germany",61,pm25,2025-06-18,14.27,5.22,8.44,-1.0,-1.0,-1.0,2025,6,18,Wednesday,0,Moderate,0.20487639688452416,0.04378925331472435,0.2667785234899328,0,0,0
"Berlin, Germany",58,pm25,2025-06-20,23.02,9.26,7.15,-1.0,-1.0,-1.0,2025,6,20,Friday,0,Moderate,0.5011852353538774,0.11427076064200976,0.19463087248322147,0,0,0
"Berlin, Germany",59,pm25,2025-06-22,27.73,12.54,12.3,-1.0,-1.0,-1.0,2025,6,22,Sunday,0,Moderate,0.6606840501185235,0.17149337055129096,0.482662192393736,0,0,0
"Berlin, Germany",62,pm25,2025-06-24,31.27,13.24,20.57,-1.0,-1.0,-1.0,2025,6,24,Tuesday,0,Moderate,0.7805621401964103,0.18370551290997908,0.9451901565995524,0,0,0
Madrid,91,pm25,2025-06-20,34.66,25.41,11.66,-1.0,-1.0,-1.0,2025,6,20,Friday,0,Moderate,0.8953606501862511,0.39602233077459875,0.44686800894854584,0,0,0
Madrid,91,pm25,2025-06-22,26.0,48.02,9.32,-1.0,-1.0,-1.0,2025,6,22,Sunday,0,Moderate,0.6020995597697257,0.7904745289602233,0.31599552572706935,0,0,0
Madrid,91,pm25,2025-06-24,21.25,59.76,8.36,-1.0,-1.0,-1.0,2025,6,24,Tuesday,0,Moderate,0.44124619031493395,0.9952896022330774,0.262304250559284,0,0,0
Madrid,96,pm25,2025-06-26,20.68,22.21,12.69,-1.0,-1.0,-1.0,2025,6,26,Thursday,0,Moderate,0.4219437859803589,0.340195394277739,0.5044742729306487,0,0,0
Madrid,91,pm25,2025-06-28,28.22,15.49,12.66,-1.0,-1.0,-1.0,2025,6,28,Saturday,0,Moderate,0.6772773450728072,0.22295882763433358,0.5027964205816554,0,0,0
Madrid,95,pm25,2025-06-30,29.94,12.91,13.8,-1.0,-1.0,-1.0,2025,6,30,Monday,0,Moderate,0.7355231967490686,0.1779483600837404,0.5665548098434005,0,0,0
"Arenula, Roma, Lazio, Italy",32,pm25,2025-06-26,16.62,7.55,10.21,-1.0,-1.0,-1.0,2025,6,26,Thursday,0,Good,0.28445648493057907,0.08443824145150035,0.3657718120805369,0,0,0
"Arenula, Roma, Lazio, Italy",32,pm25,2025-06-28,23.95,7.89,11.13,-1.0,-1.0,-1.0,2025,6,28,Saturday,0,Good,0.5326786318997628,0.09036985345429169,0.41722595078299773,0,0,0
"Arenula, Roma, Lazio, Italy",35,pm25,2025-06-30,37.75,15.39,15.1,-1.0,-1.0,-1.0,2025,6,30,Monday,0,Good,1.0,0.2212142358688067,0.6392617449664428,0,0,0
"Arenula, Roma, Lazio, Italy",32,pm25,2025-07-02,29.1,13.15,10.42,-1.0,-1.0,-1.0,2025,7,2,Wednesday,0,Good,0.7070775482560109,0.1821353803210049,0.37751677852348986,0,0,0
"Arenula, Roma, Lazio, Italy",35,pm25,2025-07-04,23.76,8.81,12.72,-1.0,-1.0,-1.0,2025,7,4,Friday,0,Good,0.5262444971215713,0.10642009769713888,0.506152125279642,0,0,0
"Arenula, Roma, Lazio, Italy",33,pm25,2025-07-06,30.36,11.68,7.94,-1.0,-1.0,-1.0,2025,7,6,Sunday,0,Good,0.7497460209955977,0.15648988136775993,0.23881431767337807,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",52,pm25,2025-07-02,14.33,6.04,12.71,-1.0,-1.0,-1.0,2025,7,2,Wednesday,0,Moderate,0.20690822891974261,0.05809490579204466,0.5055928411633109,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",48,pm25,2025-07-04,20.94,9.3,13.89,-1.0,-1.0,-1.0,2025,7,4,Friday,0,Good,0.43074839146630545,0.11496859734822053,0.5715883668903803,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",51,pm25,2025-07-06,27.26,11.38,9.99,-1.0,-1.0,-1.0,2025,7,6,Sunday,0,Moderate,0.6447680325093125,0.15125610607117937,0.35346756152125275,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",51,pm25,2025-07-08,10.88,4.56,13.24,-1.0,-1.0,-1.0,2025,7,8,Tuesday,0,Moderate,0.09007788689468338,0.032274947662247026,0.535234899328859,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",50,pm25,2025-07-10,9.33,2.95,7.43,-1.0,-1.0,-1.0,2025,7,10,Thursday,0,Good,0.037588892651540785,0.004187020237264484,0.21029082774049213,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",51,pm25,2025-07-12,9.12,4.01,4.21,-1.0,-1.0,-1.0,2025,7,12,Saturday,0,Moderate,0.030477480528276278,0.022679692951849264,0.030201342281879193,0,0,0
Amsterdam,20,pm25,2025-07-08,20.63,10.62,7.59,-1.0,-1.0,-1.0,2025,7,8,Tuesday,0,Good,0.4202505926176769,0.13799720865317514,0.21923937360178966,0,0,0
Amsterdam,20,pm25,2025-07-10,24.54,14.3,4.25,-1.0,-1.0,-1.0,2025,7,10,Thursday,0,Good,0.5526583135794108,0.20219818562456385,0.03243847874720358,0,0,0
Amsterdam,21,pm25,2025-07-12,19.95,11.16,9.76,-1.0,-1.0,-1.0,2025,7,12,Saturday,0,Good,0.39722316288520143,0.14741800418702022,0.3406040268456375,0,0,0
Amsterdam,21,pm25,2025-07-14,22.08,11.03,9.34,-1.0,-1.0,-1.0,2025,7,14,Monday,0,Good,0.4693532001354554,0.1451500348918353,0.3171140939597315,0,0,0
Amsterdam,21,pm25,2025-07-16,23.38,11.16,9.5,-1.0,-1.0,-1.0,2025,7,16,Wednesday,0,Good,0.5133762275651879,0.14741800418702022,0.32606263982102907,0,0,0
Amsterdam,21,pm25,2025-07-18,10.71,4.07,12.38,-1.0,-1.0,-1.0,2025,7,18,Friday,0,Good,0.08432102946156451,0.023726448011165392,0.48713646532438476,0,0,0
Paris,46,pm25,2025-05-30,21.88,8.79,8.21,-1.0,-1.0,-1.0,2025,5,30,Friday,0,Good,0.4625804266847273,0.10607117934403348,0.2539149888143177,0,0,0
Paris,47,pm25,2025-06-01,17.38,9.16,7.62,-1.0,-1.0,-1.0,2025,6,1,Sunday,0,Good,0.3101930240433457,0.11252616887648291,0.22091722595078297,0,0,0
Paris,45,pm25,2025-06-03,18.62,9.58,11.94,-1.0,-1.0,-1.0,2025,6,3,Tuesday,0,Good,0.3521842194378598,0.11985345429169575,0.4625279642058165,0,0,0
Paris,44,pm25,2025-06-05,17.04,10.19,14.2,-1.0,-1.0,-1.0,2025,6,5,Thursday,0,Good,0.29867930917710794,0.13049546406140963,0.5889261744966442,0,0,0
Paris,43,pm25,2025-06-07,19.43,10.19,9.63,-1.0,-1.0,-1.0,2025,6,7,Saturday,0,Good,0.37961395191330843,0.13049546406140963,0.3333333333333333,0,0,0
Paris,45,pm25,2025-06-09,11.23,6.13,15.01,-1.0,-1.0,-1.0,2025,6,9,Monday,0,Good,0.10193024043345748,0.05966503838101884,0.634228187919463,0,0,0
London,63,pm25,2025-06-03,12.41,6.47,12.0,-1.0,-1.0,-1.0,2025,6,3,Tuesday,0,Moderate,0.14188960379275312,0.06559665038381018,0.46588366890380306,0,0,0
London,60,pm25,2025-06-05,14.65,7.21,8.19,-1.0,-1.0,-1.0,2025,6,5,Thursday,0,Moderate,0.21774466644090754,0.078506629448709,0.2527964205816554,0,0,0
London,64,pm25,2025-06-07,12.18,5.45,7.84,-1.0,-1.0,-1.0,2025,6,7,Saturday,0,Moderate,0.13410091432441582,0.04780181437543615,0.23322147651006708,0,0,0
London,63,pm25,2025-06-09,10.34,5.96,8.25,-1.0,-1.0,-1.0,2025,6,9,Monday,0,Moderate,0.07179139857771755,0.05669923237962317,0.25615212527964204,0,0,0
London,60,pm25,2025-06-11,16.13,8.31,13.49,-1.0,-1.0,-1.0,2025,6,11,Wednesday,0,Moderate,0.2678631899762952,0.09769713886950454,0.5492170022371364,0,0,0
London,61,pm25,2025-06-13,15.56,8.67,12.84,-1.0,-1.0,-1.0,2025,6,13,Friday,0,Moderate,0.24856078564172027,0.10397766922540126,0.5128635346756152,0,0,0
London,62,pm25,2025-06-15,11.84,6.59,12.72,-1.0,-1.0,-1.0,2025,6,15,Sunday,0,Moderate,0.12258719945817809,0.06769016050244242,0.506152125279642,0,0,0
London,63,pm25,2025-06-17,9.68,4.84,11.78,-1.0,-1.0,-1.0,2025,6,17,Tuesday,0,Moderate,0.049441246190314904,0.03715980460572226,0.4535794183445189,0,0,0
"Berlin, Germany",60,pm25,2025-06-12,11.87,6.37,12.5,-1.0,-1.0,-1.0,2025,6,12,Thursday,0,Moderate,0.12360311547578728,0.06385205861828333,0.49384787472035785,0,0,0
"Berlin, Germany",61,pm25,2025-06-14,18.7,9.18,10.26,-1.0,-1.0,-1.0,2025,6,14,Saturday,0,Moderate,0.354893328818151,0.11287508722958828,0.36856823266219235,0,0,0
"Berlin, Germany",63,pm25,2025-06-16,18.14,8.48,7.63,-1.0,-1.0,-1.0,2025,6,16,Monday,0,Moderate,0.3359295631561124,0.10066294487090022,0.22147651006711405,0,0,0
"Berlin, Germany",63,pm25,2025-06-18,14.17,5.23,7.5,-1.0,-1.0,-1.0,2025,6,18,Wednesday,0,Moderate,0.20149001015916015,0.04396371249127705,0.21420581655480983,0,0,0
"Berlin, Germany",59,pm25,2025-06-20,23.35,9.59,7.14,-1.0,-1.0,-1.0,2025,6,20,Friday,0,Moderate,0.5123603115475788,0.12002791346824843,0.19407158836689034,0,0,0
"Berlin, Germany",63,pm25,2025-06-22,27.33,12.42,12.66,-1.0,-1.0,-1.0,2025,6,22,Sunday,0,Moderate,0.6471385032170673,0.16939986043265878,0.5027964205816554,0,0,0
